nombre_compania;contacto_compania;correo_compania;telefono_compania;tipo;nombre;correo;telefono;fecha_registro;direccion;ciudad;codigo_postal;region;producto;categoria_producto;cantidad;precio_unitario
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Cauliflower;Fresh Vegetables;5;282.26
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Feta;Cheese;1;477.93
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Crackers;Snacks;5;40.29
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Red pepper;Spices & Herbs;2;376.41
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Eaton Nelson;Aliquam.tincidunt.nunc@commodohendrerit.com;049-192-5347;29/04/2018;4326 A, Road;Las Vegas;97695;Nevada;Cream cheese;Cheese;3;389.07
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Formula;Baby Stuff;4;235.54
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Tilapia;Seafood;4;229.77
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Shortening;Baking;1;231.05
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Pet Perfume;Pets;2;55.25
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Sour cream;Dairy;4;344.24
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Asparagus;Fresh Vegetables;1;346.43
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Cottage cheese;Dairy;1;486.1
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Broccoli;Fresh Vegetables;2;13.65
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Henry Carlson;Aliquam.gravida@quistristiqueac.net;063-340-7971;12/05/2012;P.O. Box 127, 9754 Ornare, Street;Vancouver;86739;WA;Gin;Beverages;1;351.44
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Candy / Gum;Snacks;1;128.77
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Veggies;Canned Foods;1;169.73
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Club soda / Tonic;Beverages;4;134.04
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Onions;Fresh Vegetables;5;464.72
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Carrots;Fresh Vegetables;5;344.38
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Bagels / Croissants;Baked Goods;4;275.95
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Broth;Canned Foods;3;220.98
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Asparagus;Fresh Vegetables;3;346.43
Dolor Sit Amet Corp.;Nora Gallegos;enim.non@imperdietdictum.co.uk;043-450-8176;P;Caryn Salinas;ornare.egestas@Inscelerisquescelerisque.edu;000-235-3568;25/02/2017;7895 Non Avenue;Fort Wayne;67631;IN;Salad dressing;Condiments / Sauces;5;415.11
